Frequency,FreqOpti,RelCaptTag,SurveyType@Station,MonitoringStatus@Station,Origin,Sex,Locality,DATE,LAT,LON,Name_signal_type
215839,215839,00071FF92C,Post-Release,Monitored,release,male,Enjil,2012-06-26 08:25:00,33.09619,-4.54193,
218450,218450,0007025B8D,Breeding,Monitored,release,female,Smar,2012-07-11 09:18:00,32.94793,-3.62357,
218450,218450,0007025B8D,Breeding,Monitored,release,female,Smar,2012-07-11 09:18:00,32.94793,-3.62357,
216463,216463,W-00136,Tracking,Monitored,wild,male,Al Baten,2012-08-13 11:11:00,33.32512,-3.86383,normal
216642,216642,00072002AD,Post-Release,Monitored,release,male,Enjil,2012-09-04 09:45:00,33.14365,-4.56250,normal
217871,217871,0007136F96,Tracking,Monitored,release,female,Sidi Amer,2012-09-26 09:17:00,33.72811,-2.36616,normal
216700,216700,0007025C6C,Tracking,Monitored,release,female,Karâa,2012-10-12 08:16:00,33.48976,-2.60665,normal
218810,218810,000702E015,Tracking,Monitored,release,male,Ghachwa,2012-10-12 09:16:00,33.04168,-2.58213,normal
218810,218810,000702E015,Tracking,Monitored,release,male,Ghachwa,2012-10-12 09:16:00,33.04168,-2.58213,normal
215471,215471,00071B37F1,Post-Release,Monitored,release,male,Enjil,2012-12-12 10:26:00,33.06118,-4.56329,normal
215471,215471,00071B37F1,Post-Release,Monitored,release,male,Enjil,2012-12-12 10:26:00,33.06118,-4.56329,normal
219893,219893,000713972E,Tracking,Lost,release,male,Ichte,2012-12-19 10:01:43,29.08344,-8.87239,normal
219461,219461,00071B0E05,Post-Release,Monitored,release,male,Foum Lahcen,2013-01-23 10:01:21,29.08351,-8.70962,normal
217921,217921,0006E7F544,Tracking,Monitored,release,male,Galb Lhrache,2013-02-01 11:57:21,32.85224,-2.68290,weak
219260,219260,W-00142,Tracking,Lost,wild,male,Al Baten,2007-09-11 10:22:00,33.26965,-3.86400,
216390,216390,W-00190,Breeding,Lost,wild,male,Al Baten,2008-02-26 11:08:25,33.16622,-3.97367,
216447,216447,0006D0C70A,Tracking,Monitored,release,male,Mengoub,2009-09-18 10:58:00,32.20376,-2.51101,normal
218843,218841,W-00304,Breeding,Lost,wild,male,Al Baten,2010-05-06 10:46:00,33.28844,-3.92877,
217518,217518,W-00117,Tracking,Lost,wild,male,Al Baten,2010-06-22 10:25:00,33.22213,-3.88989,weak
217187,217187,W-00208,Tracking,Monitored,wild,male,Outat Elhaj,2010-06-28 13:50:00,33.37906,-3.76928,
217187,217187,W-00208,Tracking,Monitored,wild,male,Outat Elhaj,2010-06-28 13:50:00,33.37906,-3.76928,weak
216741,216741,00070284D8,Post-Release,Monitored,release,female,Enjil,2010-11-08 14:15:41,33.08613,-4.63098,
215671,215671,000703060F,Post-Release,Monitored,release,male,Foum Zguid,2010-11-17 17:22:00,29.87229,-6.91413,
216794,216794,0007026BCF,Post-Release,Lost,release,male,Tamlelt,2011-04-02 10:04:00,32.46426,-2.16411,normal
215982,215982,000702872B,Breeding,Monitored,release,female,Mâadar Naimi,2011-04-26 08:03:00,32.45710,-2.15851,
215982,215982,000702872B,Breeding,Monitored,release,female,Mâadar Naimi,2011-04-26 08:03:00,32.45710,-2.15851,
215982,215982,000702872B,Breeding,Monitored,release,female,Mâadar Naimi,2011-04-26 08:03:00,32.45710,-2.15851,
215982,215982,000702872B,Breeding,Monitored,release,female,Mâadar Naimi,2011-04-26 08:03:00,32.45710,-2.15851,
216714,216714,W-00147,Breeding,Monitored,wild,male,Al Baten,2011-05-23 15:06:00,33.30010,-3.85930,
214132,214132,0007025A35,Tracking,Monitored,release,male,Lamhamid,2011-06-13 09:30:00,30.17927,-6.85795,
219234,219234,000702D29F,Breeding,Monitored,release,female,Mengoub,2011-07-06 08:27:00,32.32419,-2.19944,
219234,219234,000702D29F,Breeding,Monitored,release,female,Mengoub,2011-07-06 08:27:00,32.32419,-2.19944,
219234,219234,000702D29F,Breeding,Monitored,release,female,Mengoub,2011-07-06 08:27:00,32.32419,-2.19944,
219234,219234,000702D29F,Breeding,Monitored,release,female,Mengoub,2011-07-06 08:27:00,32.32419,-2.19944,
217471,217471,00070307C4,Post-Release,Monitored,release,male,Talha,2011-10-07 09:36:00,33.02327,-2.42107,
218719,218720,000702EDB1,Post-Release,Monitored,release,male,Zehda,2011-10-04 09:19:00,33.11919,-2.42020,
218719,218720,000702EDB1,Post-Release,Monitored,release,male,Zehda,2011-10-04 09:19:00,33.11919,-2.42020,
218719,218720,000702EDB1,Post-Release,Monitored,release,male,Zehda,2011-10-04 09:19:00,33.11919,-2.42020,
218950,218950,0007022A9D,Post-Release,Monitored,release,female,Zehda,2011-10-04 09:57:00,33.12862,-2.42594,
218950,218950,0007022A9D,Post-Release,Monitored,release,female,Zehda,2011-10-04 09:57:00,33.12862,-2.42594,
218950,218950,0007022A9D,Post-Release,Monitored,release,female,Zehda,2011-10-04 09:57:00,33.12862,-2.42594,
217999,217999,0007026B09,Tracking,Monitored,release,male,Enjil,2011-10-20 07:23:00,33.16557,-4.55205,
217490,217490,0006F2AD17,Tracking,Monitored,release,female,Lethima,2011-10-20 14:37:00,32.92348,-2.55400,
217490,217490,0006F2AD17,Tracking,Monitored,release,female,Lethima,2011-10-20 14:37:00,32.92348,-2.55400,
